Key,Value,T
21,You cannot train a skill that above 50%.[/end],您不能训练超过50％的技能;[/end]
22,"You are in %cn.[/center]
It is %tim on %dat.[/center]
In the eyes of the law of %crn,[/center]
you are %ltn.[/center]
[/end]","您在％cn; 
 它是％tim on％dat;[/center] 
 在％crn定律的眼中.[/center] 
 您是％ltn;[/center] 
 [/end]"
23,"You have to wait at least 12 hours before you[/center]
can undertake more training.[/center]
[/end]","您必须等待至少12个小时才能[/center] 
 可以接受更多的培训;[/center] 
 [/end]"
24,"This does not need to be repaired.[/center]
[/end]","这不需要修复;[/center] 
 [/end]"
25,"You have %gii gold pieces. How many[/center]
do you wish to drop ?[/center]
[/input] [/center]
[/end]","您有％GII金片; 多少[/center] 
 您想掉落吗[[/center] 
 [/input] [/center] 
 [/end]"
26,"You cannot rest for more[/center]
than 99 hours at a time.[/center]
[/end]","您不能更多地休息[/center] 
 一次比99小时;[/center] 
 [/end]"
27,"You cannot loiter for more[/center]
than 3 hours at a time.[/center]
[/end]","您不能游荡更多[/center] 
 一次比3小时;[/center] 
 [/end]"
28,%hnt[/end],％hnt [/end]
29,"%it is broken.[/center]
[/end]","％它被打破;[/center] 
 [/end]"
30,"You have no diseases.[/center]
[/end]","您没有疾病;[/center] 
 [/end]"
31,"Do you wish to travel to[/center]
%tcn?[/center]
[/end]","您想去[/center] 
 ％tcn[[/center] 
 [/end]"
32,"The soul is released.[/center]
[/end]","灵魂被释放;[/center] 
 [/end]"
33,"You cannot repair magic items.[/center]
[/end]","您无法修复魔法物品;[/center] 
 [/end]"
34,"You don't have any potion ingredients.[/center]
[/end]","您没有任何药水成分;[/center] 
 [/end]"
35,"Your reputation have changed as follows:[/left]
[/left]
Commoners: [/pos:x=70,y=0]%r1[/left]
Merchants: [/pos:x=70,y=0]%r2[/left]
Scholars: [/pos:x=70,y=0]%r3[/left]
Nobility: [/pos:x=70,y=0]%r4[/left]
Underworld: [/pos:x=70,y=0]%r5[/left]
[/end]","您的声誉已改变如下：[/left] 
 [/left] 
 平民：[/pos：x = 70.y = 0]％r1 [/left] 
 商人：[/pos：x = 70.y = 0]％r2 [/left] 
 学者：[/pos：x = 70.y = 0]％r3 [/left] 
 贵族：[/pos：x = 70.y = 0]％r4 [/left] 
 地下世界：[/pos：x = 70.y = 0]％r5 [/left] 
 [/end]"
36,"It has been too long since you sated your[/center]
need to kill as a vampire. You are unable[/center]
to regain your strength.[/center]
[/end]","自从您为[/center]上调整了时间已经太久了 
 需要杀死作为吸血鬼; 您无法[/center] 
 重新获得力量;[/center] 
 [/end]"
37,"This looks like private property. Do you[/center]
still want to look through it?[/center]
[/end]","这看起来像私有财产; 您[/center] 
 仍然想浏览它吗[[/center] 
 [/end]"
38,"Do you wish to access your wagon[/center]
and stay in %cn?[/center]
[/end]","您是否希望访问您的Wagon [/center] 
 并留在％cn[[/center] 
 [/end]"
100,"You have contracted Witches' Pox.[/center]
It will slowly deteriorate your strength,[/center]
endurance, and health until you are cured[/center]
or dead.[/center]
[/end]","您已经签约了女巫的诗歌;[/center] 
 它会慢慢恶化您的力量.[/center] 
 耐力和健康.直到您治愈[/center] 
 或死亡;[/center] 
 [/end]"
101,"You have contracted the Plague,[/center]
a very serious, often fatal disease.[/center]
Very quickly it will spread through[/center]
your system. Few who contracted it[/center]
live for more than a few days[/center]
unless they are cured quickly.[/center]
[/end]","您已经收缩了鼠疫.[/center] 
 一种非常严重的.通常是致命的疾病;[/center] 
 它很快将通过[/center]传播 
 你的系统; 很少有签给它的人[/center] 
 活超过几天[/center] 
 除非快速治愈; 
 [/end]"
